School,SchoolWalkScore,City,CityScore
UCLA,78,Los Angeles,69
USC,87,Los Angeles,69
UCSD,66,San Diego,53
UCB,85,Berkeley,85
University of Oregon,93,Eugene,46
University of Washington,91,Seattle,74
University of Michigan,96,Ann Arbor,52
University of Arizona,72,Tucson,43
University of Colorado,68,Boulder,56
UT Austin,72,Austin,42
UNC,68,Chapel Hill,34
Yale,89,New Haven,68
University of Pennsylvania,95,Philadelphia,75
Penn State,92,State College,68
University of Wisconsin,50,Madison,75
