City,"Rates of Vehicle Ownership, 2019","# of Households, 2019","# of Vehicles per Household, 2019"
New York,44.56%,"3,211,033",0.62
"Newark, New Jersey",59.52%,"102,155",0.87
"Union City, New Jersey",60.57%,"25,581",0.81
New Jersey ,61.77%,"108,939",0.85
Boston,64.31%,"271,553",0.95
Washington D.C.,65.06%,"291,570",0.89
"Cambridge, Massachusetts",67.14%,"47,374",0.89
"Passaic, New Jersey",67.26%,"19,956",1.03
San Francisco,67.65%,"365,851",1.03
"East Orange, New Jersey",69.22%,"27,960",1.03
"Paterson, New Jersey",69.91%,"43,172",1.13
"Miami Beach, Florida",70.11%,"40,084",0.98
"Trenton, New Jersey",70.16%,"28,246",1.11
"Mount Vernon, New York",70.41%,"26,535",1.16
Philadelphia,70.60%,"619,505",1.04
Baltimore,71.28%,"242,694",1.11
"Camden, New Jersey",71.68%,"24,051",1.12
Chicago,72.22%,"1,080,345",1.09
"Buffalo, New York",73.05%,"109,163",1.15
"New Haven, Connecticut",73.40%,"46,982",1.15
"Lawrence, Massachusetts",74.58%,"27,844",1.23
"Rochester, New York",74.69%,"87,679",1.14
"Reading, Pennsylvania",75.37%,"29,325",1.23
"Bayonne, New Jersey",75.43%,"25,939",1.15
"Elizabeth, New Jersey",75.56%,"40,227",1.21
"Yonkers, New York",75.77%,"74,854",1.21
"Syracuse, New York",75.96%,"57,114",1.13
"San Juan, Puerto Rico",76.53%,"135,460",1.19
"Pittsburgh, Pennsylvania",76.57%,"143,276",1.17
"Somerville, Massachusetts",76.63%,"32,120",1.17
"Springfield, Massachusetts",77.07%,"54,922",1.28
"Hartford, Connecticut",77.09%,"48,168",1.17
Detroit,77.43%,"267,139",1.19
"Bridgeport, Connecticut",77.50%,"50,103",1.35
"Wilmington, Delaware",77.85%,"31,754",1.06
"Berkeley, California",78.76%,"44,551",1.31
"Flint, Michigan",78.93%,"40,121",1.25
"Schenectady, New York",78.95%,"26,574",1.2
"Cleveland, Ohio",79.27%,"171,632",1.21
"Gary, Indiana",79.41%,"29,466",1.32
"Albany, New York",79.92%,"42,408",1.24
"New Bedford, Massachusetts",80.02%,"39,216",1.33
"Waterbury, Connecticut",80.02%,"42,113",1.33
St. Louis,80.25%,"146,779",1.28
Seattle,80.66%,"343,988",1.32
"Ponce, Puerto Rico",80.72%,"44,413",1.25
"Dayton, Ohio",80.91%,"56,520",1.35
"Allentown, Pennsylvania",80.99%,"40,959",1.39
"Cincinnati, Ohio",81.20%,"137,582",1.36
"Youngstown, Ohio",81.23%,"29,102",1.28
Miami,81.34%,"189,084",1.27
"Caguas, Puerto Rico",81.36%,"28,623",1.3
"Fall River, Massachusetts",81.41%,"37,899",1.36
"New Rochelle, New York",81.87%,"32,251",1.37
"Providence, Rhode Island",81.91%,"62,046",1.28
"Erie, Pennsylvania",82.17%,"39,790",1.26
"Worcester, Massachusetts",82.46%,"69,125",1.42
"Canton, Ohio",82.77%,"31,981",1.31
"Brockton, Massachusetts",82.78%,"31,440",1.49
Milwaukee,82.91%,"232,176",1.35
"Muncie, Indiana",83.19%,"26,772",1.46
Honolulu,83.25%,"131,873",1.39
"Silver Spring, Maryland",83.26%,"31,712",1.37
"Scranton, Pennsylvania",83.70%,"30,923",1.43
"Lynn, Massachusetts",83.81%,"31,833",1.5
New Orleans,83.89%,"151,753",1.31
"Albany, Georgia",84.27%,"25,640",1.36
"New Britain, Connecticut",84.76%,"29,359",1.48
"Racine, Wisconsin",84.85%,"31,303",1.57
"Quincy, Massachusetts",84.96%,"42,242",1.31
"Minneapolis, Minnesota",84.99%,"181,833",1.36
"Oakland, California",85.05%,"168,413",1.45
Atlanta,85.14%,"223,736",1.34
Portland,85.17%,"280,176",1.48
"Richmond, Virginia",85.19%,"89,878",1.47
"Evanston, Illinois",85.34%,"27,877",1.29
"Shreveport, Louisiana",85.51%,"73,114",1.47
"Lowell, Massachusetts",85.51%,"41,753",1.55
"Toledo, Ohio",85.54%,"121,022",1.43
"Pawtucket, Rhode Island",85.97%,"28,452",1.44
"Peoria, Illinois",86.12%,"46,130",1.51
"Fort Myers, Florida",86.35%,"30,754",1.45
"Lauderhill, Florida",86.37%,"24,628",1.36
"Portland, Maine",86.55%,"30,900",1.49
"Waterloo, Iowa",86.57%,"27,914",1.66
"Birmingham, Alabama",86.67%,"93,300",1.47
"Bayamón, Puerto Rico",86.70%,"62,502",1.5
"Lafayette, Indiana",86.97%,"33,086",1.49
"Grand Rapids, Michigan",87.00%,"77,128",1.55
"Savannah, Georgia",87.02%,"53,371",1.46
"St. Paul, Minnesota",87.03%,"110,782",1.57
"Framingham, Massachusetts",87.05%,"27,005",1.64
"Cicero, Illinois",87.19%,"22,399",1.66
"Sunrise Manor, Nevada",87.20%,"62,646",1.61
"Newport News, Virginia",87.25%,"70,918",1.61
"Paradise, Nevada",87.25%,"94,188",1.49
"Akron, Ohio",87.25%,"83,821",1.48
"Madison, Wisconsin",87.35%,"114,096",1.44
"Rockford, Illinois",87.47%,"57,463",1.59
"Arlington, Virginia",87.49%,"111,887",1.4
"Kalamazoo, Michigan",87.52%,"30,858",1.49
"Brentwood, New York",87.65%,"13,737",2.27
"Hammond, Indiana",87.67%,"29,402",1.56
"St. Joseph, Missouri",87.77%,"29,399",1.61
"Greenville, North Carolina",87.79%,"37,402",1.58
"Davis, California",87.86%,"26,367",1.68
Los Angeles,87.89%,"1,398,900",1.63
"Bethlehem, Pennsylvania",87.93%,"29,213",1.53
"Norfolk, Virginia",88.00%,"88,387",1.57
"Bloomington, Indiana",88.07%,"30,072",1.48
"Hialeah, Florida",88.07%,"75,989",1.63
"South Bend, Indiana",88.18%,"41,196",1.54
"Eugene, Oregon",88.21%,"73,331",1.55
"Macon-Bibb, Georgia",88.21%,"56,726",1.61
"Davenport, Iowa",88.22%,"41,123",1.64
"Columbia, South Carolina",88.28%,"45,474",1.52
"Pompano Beach, Florida",88.40%,"44,297",1.44
"North Little Rock, Arkansas",88.41%,"27,903",1.5
"Deerfield Beach, Florida",88.44%,"33,439",1.46
"Knoxville, Tennessee",88.47%,"83,492",1.55
"Alexandria, Virginia",88.48%,"71,005",1.35
"Lorain, Ohio",88.50%,"24,947",1.48
"Baton Rouge, Louisiana",88.51%,"82,097",1.47
"Santa Barbara, California",88.60%,"38,674",1.57
"Memphis, Tennessee",88.66%,"254,423",1.53
"Champaign, Illinois",88.68%,"35,865",1.41
"Guaynabo, Puerto Rico",88.70%,"26,131",1.62
"Cheektowaga, New York",88.81%,"35,691",1.48
"Roanoke, Virginia",88.82%,"40,810",1.53
"Kansas City, Kansas",88.87%,"56,873",1.68
"Iowa City, Iowa",88.89%,"32,850",1.57
"Lansing, Michigan",88.98%,"51,035",1.39
Denver,89.07%,"318,445",1.57
"Pharr, Texas",89.15%,"23,126",1.65
"Spokane, Washington",89.23%,"95,222",1.69
"Evansville, Indiana",89.26%,"50,692",1.56
"Carolina, Puerto Rico",89.27%,"54,004",1.44
"Springfield, Missouri",89.37%,"80,693",1.42
Tucson,89.39%,"217,993",1.55
"Winston-Salem, North Carolina",89.46%,"94,884",1.64
"Portsmouth, Virginia",89.56%,"36,089",1.61
"Pueblo, Colorado",89.57%,"44,945",1.68
"Salt Lake City, Utah",89.57%,"81,839",1.63
"Sandy Springs, Georgia",89.59%,"52,820",1.54
"Santa Monica, California",89.62%,"45,096",1.4
"Louisville/Jefferson County, Kentucky",89.62%,"252,784",1.63
"Ann Arbor, Michigan",89.63%,"45,827",1.48
"Medford, Oregon",89.65%,"33,047",1.69
"Glendale, California",89.71%,"74,197",1.61
"Bellevue, Washington",89.72%,"59,316",1.63
"Lake Charles, Louisiana",89.73%,"32,614",1.58
"Wilmington, North Carolina",89.77%,"54,673",1.53
"East Los Angeles, California",89.84%,"30,676",1.88
"Gainesville, Florida",89.85%,"51,990",1.47
"Fresno, California",89.86%,"172,815",1.74
"Greenville, South Carolina",89.88%,"32,250",1.56
"Tempe, Arizona",89.91%,"76,669",1.61
